Name,R_sh [Ohm/square],delta_Rsh [Ohm/square]
VPX33234_012_PSS_EE_Left_r,2554.170166254216,424.20793451454585
VPX33234_012_PSS_EE_Left_s,2315.8133571398457,5.5812389519025984
VPX33234_012_PSS_EE_Right_r,2327.061188244276,6.6380233122637575
VPX33234_012_PSS_EE_Right_s,2333.7761632484076,5.4411864307590045
VPX33234_013_PSS_EE_Left_r,2327.1306192912275,3.8771209789369516
VPX33234_013_PSS_EE_Left_s,2320.088326472228,3.1997407848102974
VPX33234_013_PSS_EE_Right_r,2300.568281108934,7.8110096714200195
VPX33234_013_PSS_EE_Right_s,2313.115464758644,7.3829540648887955
VPX33234_014_PSS_EE_Left_r,2339.271135354009,4.204839017887005
VPX33234_014_PSS_EE_Left_s,2351.8084002975243,4.150247545471991
VPX33234_014_PSS_EE_Right_r,2340.3225198908012,3.778862495160738
VPX33234_014_PSS_EE_Right_s,2328.8366395017956,0.9253990045673787
VPX33234_015_PSS_EE_Left_r,2322.3993887198008,5.1172682458957075
VPX33234_015_PSS_EE_Left_s,2313.4130263852153,0.9668874799927735
VPX33234_015_PSS_EE_Right_VDPPoly,2289.2212626964906,7.384259860624871
VPX33234_015_PSS_EE_Right_r,2301.5006409209564,3.9599779965136634
VPX33234_012_PSS_NW_Left_r,5217.981894920155,664.9652888407448
VPX33234_012_PSS_NW_Left_s,2331.127864334758,3.6752818223763657
VPX33234_013_PSS_NW_Left_r,1937.9001412976454,577.521514223794
VPX33234_013_PSS_NW_Left_s,2351.89766877758,1.3698095003488937
VPX33234_014_PSS_NW_Left_r,2374.4131683340747,2.954699153018784
VPX33234_014_PSS_NW_Left_s,2358.2258135900697,0.42847400272465236
VPX33234_015_PSS_NW_Left_r,2365.972335688347,0.5237340023283316
VPX33234_015_PSS_NW_Left_s,2359.4160602619095,0.5514884867830495
VPX33234_012_PSS_WW_Right_r,2347.1862756947135,5.641446619829805
VPX33234_012_PSS_WW_Right_s,2351.312464115274,7.966810952215674
VPX33234_013_PSS_WW_Left_r,2358.2158948684437,0.6478038581819138
VPX33234_013_PSS_WW_Left_s,2357.7993085295934,0.3905424764138663
VPX33234_013_PSS_WW_Right_r,2394.577930605504,11.381556486523927
VPX33234_013_PSS_WW_Right_s,2353.008565662948,5.882472262003783
VPX33234_014_PSS_WW_Left_r,2346.105134982636,1.57850404198369
VPX33234_014_PSS_WW_Left_s,2343.516348446438,2.834401087518372
VPX33234_014_PSS_WW_Right_r,2353.2466150123605,0.3440715037022569
VPX33234_014_PSS_WW_Right_s,2355.7560517453253,0.5798094390040592
VPX33234_015_PSS_WW_Left_r,2350.310673161617,7.274282742281755
VPX33234_015_PSS_WW_Left_s,2343.565942041281,2.944682122616269
VPX33234_015_PSS_WW_Right_r,2365.4565621257175,0.520877216395523
VPX33234_015_PSS_WW_Right_s,2368.422260068466,3.3746921103035583
