Name,CloverMetal-standard [Ohm/square],CloverMetal-standard-err [Ohm/square],CloverMetal-rotated [Ohm/square],CloverMetal-rotated-err [Ohm/square]
VPX33234_012_PSS_EE_Left,0.018077863211695577,6.262686810174982e-05,0.017961814161063943,5.908928469279797e-05
VPX33234_012_PSS_EE_Right,0.018476595846739937,5.7705031171185334e-05,0.018319880034757728,5.5621543772957335e-05
VPX33234_013_PSS_EE_Left,0.017962806033308194,5.770503151271499e-05,0.017929082377564312,6.014178242658705e-05
VPX33234_013_PSS_EE_Right,0.018450807168609893,5.250889090358312e-05,0.018363522413101945,5.3801386122465065e-05
VPX33234_014_PSS_EE_Left,0.01800744028390547,6.337469325929825e-05,0.01795883854436291,5.738209218368633e-05
VPX33234_014_PSS_EE_Right,0.018351619945984325,5.2249065405584425e-05,0.01820879034525852,6.750725115756304e-05
VPX33234_015_PSS_EE_Left,0.017940984844930213,6.120118681852574e-05,0.018111586867293344,4.400654915108948e-05
VPX33234_015_PSS_EE_Right,0.018375424879641816,5.523896236736736e-05,0.01828516450679729,5.9987089593855135e-05
VPX33234_012_PSS_NW_Left,0.01863033604202235,4.9019410132763356e-05,0.018544043158095554,6.28751029978113e-05
VPX33234_013_PSS_NW_Left,0.018421051002159447,5.7130080207536695e-05,0.01867497029286027,5.699214936593655e-05
VPX33234_014_PSS_NW_Left,0.018736466369602855,6.209398336377992e-05,0.018578758686066316,4.787546207760108e-05
VPX33234_015_PSS_NW_Left,0.018643230381231248,5.255883024093563e-05,0.018634303530817048,5.782425094680204e-05
VPX33234_012_PSS_WW_Left,0.018318888162723587,5.948109980773705e-05,0.018264335189691498,3.580828140458041e-05
VPX33234_012_PSS_WW_Right,0.019230418739587155,5.828744014807642e-05,0.01923736184474992,6.55670141714957e-05
VPX33234_013_PSS_WW_Left,0.01832483939582921,6.026706510082668e-05,0.01821275783440965,6.499097219960398e-05
VPX33234_013_PSS_WW_Right,0.019167930789109708,5.203417986715493e-05,0.01911139407225039,4.44587973080137e-05
VPX33234_014_PSS_WW_Left,0.018454774657808485,4.474798666006804e-05,0.018477587719023556,6.925370967100856e-05
VPX33234_014_PSS_WW_Right,0.019286955455959133,5.635758697419206e-05,0.01926711801144274,6.463764059528032e-05
VPX33234_015_PSS_WW_Left,0.018406172918730472,6.143917032765387e-05,0.018489490185802503,4.7417763505685836e-05
VPX33234_015_PSS_WW_Right,0.019357378384319043,6.46156519110058e-05,0.0193315897062211,5.958117374754347e-05
VPX33234_012_PSS_EE_Left,0.018077863211695577,6.262686810174982e-05,0.017961814161063943,5.908928469279797e-05
VPX33234_012_PSS_EE_Right,0.018476595846739937,5.7705031171185334e-05,0.018319880034757728,5.5621543772957335e-05
VPX33234_013_PSS_EE_Left,0.017962806033308194,5.770503151271499e-05,0.017929082377564312,6.014178242658705e-05
VPX33234_013_PSS_EE_Right,0.018450807168609893,5.250889090358312e-05,0.018363522413101945,5.3801386122465065e-05
VPX33234_014_PSS_EE_Left,0.01800744028390547,6.337469325929825e-05,0.01795883854436291,5.738209218368633e-05
VPX33234_014_PSS_EE_Right,0.018351619945984325,5.2249065405584425e-05,0.01820879034525852,6.750725115756304e-05
VPX33234_015_PSS_EE_Left,0.017940984844930213,6.120118681852574e-05,0.018111586867293344,4.400654915108948e-05
VPX33234_015_PSS_EE_Right,0.018375424879641816,5.523896236736736e-05,0.01828516450679729,5.9987089593855135e-05
VPX33234_012_PSS_NW_Left,0.01863033604202235,4.9019410132763356e-05,0.018544043158095554,6.28751029978113e-05
VPX33234_013_PSS_NW_Left,0.018421051002159447,5.7130080207536695e-05,0.01867497029286027,5.699214936593655e-05
VPX33234_014_PSS_NW_Left,0.018736466369602855,6.209398336377992e-05,0.018578758686066316,4.787546207760108e-05
VPX33234_015_PSS_NW_Left,0.018643230381231248,5.255883024093563e-05,0.018634303530817048,5.782425094680204e-05
VPX33234_012_PSS_WW_Left,0.018318888162723587,5.948109980773705e-05,0.018264335189691498,3.580828140458041e-05
VPX33234_012_PSS_WW_Right,0.019230418739587155,5.828744014807642e-05,0.01923736184474992,6.55670141714957e-05
VPX33234_013_PSS_WW_Left,0.01832483939582921,6.026706510082668e-05,0.01821275783440965,6.499097219960398e-05
VPX33234_013_PSS_WW_Right,0.019167930789109708,5.203417986715493e-05,0.01911139407225039,4.44587973080137e-05
VPX33234_014_PSS_WW_Left,0.018454774657808485,4.474798666006804e-05,0.018477587719023556,6.925370967100856e-05
VPX33234_014_PSS_WW_Right,0.019286955455959133,5.635758697419206e-05,0.01926711801144274,6.463764059528032e-05
VPX33234_015_PSS_WW_Left,0.018406172918730472,6.143917032765387e-05,0.018489490185802503,4.7417763505685836e-05
VPX33234_015_PSS_WW_Right,0.019357378384319043,6.46156519110058e-05,0.0193315897062211,5.958117374754347e-05
VPX33234_012_PSS_EE_Left,0.018077863211695577,6.262686810174982e-05,0.017961814161063943,5.908928469279797e-05
VPX33234_012_PSS_EE_Right,0.018476595846739937,5.7705031171185334e-05,0.018319880034757728,5.5621543772957335e-05
VPX33234_013_PSS_EE_Left,0.017962806033308194,5.770503151271499e-05,0.017929082377564312,6.014178242658705e-05
VPX33234_013_PSS_EE_Right,0.018450807168609893,5.250889090358312e-05,0.018363522413101945,5.3801386122465065e-05
VPX33234_014_PSS_EE_Left,0.01800744028390547,6.337469325929825e-05,0.01795883854436291,5.738209218368633e-05
VPX33234_014_PSS_EE_Right,0.018351619945984325,5.2249065405584425e-05,0.01820879034525852,6.750725115756304e-05
VPX33234_015_PSS_EE_Left,0.017940984844930213,6.120118681852574e-05,0.018111586867293344,4.400654915108948e-05
VPX33234_015_PSS_EE_Right,0.018375424879641816,5.523896236736736e-05,0.01828516450679729,5.9987089593855135e-05
VPX33234_012_PSS_NW_Left,0.01863033604202235,4.9019410132763356e-05,0.018544043158095554,6.28751029978113e-05
VPX33234_013_PSS_NW_Left,0.018421051002159447,5.7130080207536695e-05,0.01867497029286027,5.699214936593655e-05
VPX33234_014_PSS_NW_Left,0.018736466369602855,6.209398336377992e-05,0.018578758686066316,4.787546207760108e-05
VPX33234_015_PSS_NW_Left,0.018643230381231248,5.255883024093563e-05,0.018634303530817048,5.782425094680204e-05
VPX33234_012_PSS_WW_Left,0.018318888162723587,5.948109980773705e-05,0.018264335189691498,3.580828140458041e-05
VPX33234_012_PSS_WW_Right,0.019230418739587155,5.828744014807642e-05,0.01923736184474992,6.55670141714957e-05
VPX33234_013_PSS_WW_Left,0.01832483939582921,6.026706510082668e-05,0.01821275783440965,6.499097219960398e-05
VPX33234_013_PSS_WW_Right,0.019167930789109708,5.203417986715493e-05,0.01911139407225039,4.44587973080137e-05
VPX33234_014_PSS_WW_Left,0.018454774657808485,4.474798666006804e-05,0.018477587719023556,6.925370967100856e-05
VPX33234_014_PSS_WW_Right,0.019286955455959133,5.635758697419206e-05,0.01926711801144274,6.463764059528032e-05
VPX33234_015_PSS_WW_Left,0.018406172918730472,6.143917032765387e-05,0.018489490185802503,4.7417763505685836e-05
VPX33234_015_PSS_WW_Right,0.019357378384319043,6.46156519110058e-05,0.0193315897062211,5.958117374754347e-05
