Name,R_sh [Ohm/square],delta_Rsh [Ohm/square],resistivity [Ohm*cm]
VPX33234_011_PSS_EE_Left_r,68910.620538626,264.2158878711796,3714.421631050072
VPX33234_011_PSS_EE_Right_r,68846.84315708229,247.29152544796153,3710.9839013688406
VPX33234_011_PSS_EE_Right_s,69116.03727788746,254.0738111008955,3725.4940081920663
VPX33234_012_PSS_EE_Left_r,70529.70317234065,199.00153084306945,3801.693455191552
VPX33234_012_PSS_EE_Left_s,71264.38292912384,237.6702244011531,3841.2941779707126
VPX33234_012_PSS_EE_Right_r,71225.1543835229,267.0944393165371,3839.179680129947
VPX33234_012_PSS_EE_Right_s,70751.73376859384,241.86637825925942,3813.6613527816703
VPX33234_013_PSS_EE_Left_r,71804.80450741385,138.5337706601108,3870.423992571083
VPX33234_013_PSS_EE_Left_s,70564.51788463729,194.8930278055974,3803.5700385022615
VPX33234_013_PSS_EE_Right_r,69401.94444863316,242.2387877735335,3740.9049821637045
VPX33234_014_PSS_EE_Left_r,69305.78243640542,118.61641781816212,3735.7216554789043
VPX33234_014_PSS_EE_Left_s,69336.48088082043,134.67258841910188,3737.376363636854
VPX33234_014_PSS_EE_Right_r,70035.40364712216,159.14235960018013,3775.049712407953
VPX33234_014_PSS_EE_Right_s,70787.24279459578,200.40298089988545,3815.575361003454
VPX33234_015_PSS_EE_Left_r (1),70787.24279459578,200.40298089988545,3815.575361003454
VPX33234_015_PSS_EE_Left_r,70573.69270365649,160.7727594522628,3804.0645797784755
VPX33234_015_PSS_EE_Left_s (1),70573.69270365649,160.7727594522628,3804.0645797784755
VPX33234_015_PSS_EE_Left_s,70401.05734168644,130.60555086740928,3794.7591850835274
VPX33234_012_PSS_WW_Left_r,69737.14766802339,210.5340959943961,3758.973112724258
VPX33234_012_PSS_WW_Left_s,70145.30308842452,303.5062627371232,3780.973514266405
VPX33234_013_PSS_WW_Left_r,70226.14067670915,131.72245526945355,3785.330823548769
VPX33234_013_PSS_WW_Left_s,69753.6623407553,97.33865916241551,3759.8632869404482
VPX33234_013_PSS_WW_Right_s,70468.30627875085,155.51581951044062,3798.3840386190896
