Name,VDPEdge-standard [Ohm/square],VDPEdge-standard-err [Ohm/square],VDPEdge-rotated [Ohm/square],VDPEdge-rotated-err [Ohm/square]
VPX33234_012_PSS_EE_Left,1295.9009021554848,1.529907299403563,1294.0064262225098,3.4674695658352026
VPX33234_012_PSS_EE_Right,1295.1569979608003,4.435342634046514,1310.6698796261073,4.449081054554934
VPX33234_013_PSS_EE_Left,1291.4573145934773,2.2838466800958335,1295.4942345795846,2.2882697329706656
VPX33234_013_PSS_EE_Right,1302.0207538059324,2.7630541213246103,1304.1334416569468,1.951631649775262
VPX33234_014_PSS_EE_Left,1279.2176113168964,1.9074831743720642,1293.0145539985328,2.637414597297578
VPX33234_014_PSS_EE_Right,1275.7460585299784,2.5676551655364404,1292.052437923654,2.2933778932047804
VPX33234_015_PSS_EE_Left,1282.9470508659606,2.9741119470758695,1282.0543658725555,3.6451420797365257
VPX33234_015_PSS_EE_Right,1284.266240953328,0.5116561081945625,1287.9659243633175,0.5793284818687687
VPX33234_012_PSS_NW_Left,1256.8112177074897,0.6045630941787773,1256.811217709621,0.5304430269518158
VPX33234_013_PSS_NW_Left,1257.4360972184106,3.382550907119761,1040.1764043142653,42.831968176718554
VPX33234_014_PSS_NW_Left,1236.9043421274323,2.6375948692576245,1252.575923331541,2.284196070460018
VPX33234_015_PSS_NW_Left,1251.802262967525,1.4235238377653425,1260.2629330268178,4.233285932214674
VPX33234_012_PSS_WW_Left,1225.517648945518,3.652534218474593,1236.8646672139844,1.9958989866076213
VPX33234_012_PSS_WW_Right,1236.3885685583111,3.6569683430525695,1248.043067239232,3.918633194487326
VPX33234_013_PSS_WW_Left,1248.8960773342164,1.6263848344440548,1233.4724641941002,2.143527956608007
VPX33234_013_PSS_WW_Right,1242.2306959590674,2.6446557652709695,1253.7463325765784,3.602989432397778
VPX33234_014_PSS_WW_Left,1244.4425709976297,3.206262679962023,1233.1749025114673,2.220208998513448
VPX33234_014_PSS_WW_Right,1237.340765888343,0.5635661675149276,1237.9458079613055,2.1831931806278857
VPX33234_015_PSS_WW_Left,1251.8419378370893,2.930784291081859,1235.5157209974316,2.2090835223254737
VPX33234_015_PSS_WW_Right,1216.640392503528,3.0220704153812714,1241.9033781560563,2.059397873863641
